user_id,churn,reason
magnoliamace,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
AliciaSumpter,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
musefan84,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.15
BENecol,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.15
ossanossan,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.15
rspython,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.15
ten-24,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.15
dunkster,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.15
Zaphod69,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.15
Supm8s,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
matskiC,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
0m3rt4,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Ash568,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
__kali__,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.15
Kal-Faegan,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
rosscmoore02010,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Sean-C-7,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.15
nicola_muse,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.15
Mr_Softie,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Kirsteek,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
nonnis89,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
PurePolitePale,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
mellowyellow89,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.15
HetJammin,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
Redbaron123,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
PieForSlipper,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
joefi,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.15
klarasky,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.15
DiabloLiam1212,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.15
arranwicher,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.15
jimmy_dc,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
andymason89,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.15
BrandonCourage,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.15
BethTomlinson,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Doyle-Doyle,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Lixypie,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
Gareeh,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Craig450,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
WeirdFaerie,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
SPCotter,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.15
thebigalan39,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
citizenerased16,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.15
mai_taylor,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
EmergencyExit,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.15
swawrzyniak,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.15
SarahChiefette,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.15
Suicidal_Steve,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
jdarladimas,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.15
Navarre0,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.15
